Month,Revenue,COGS,Opex,EBITDA,EBITDA_Margin,CashFlowProxy,Opex_Payroll,Opex_Marketing,Opex_Cloud/IT,Opex_G&A
2027-01-01,13434362.492232304,7083055.5345026245,3647450.5124887167,2703856.445240963,0.20126421680257042,2116192.740123634,1606130.7597274303,733846.4648295552,636726.3397338613,647060.7570524104
2027-02-01,12461343.960576152,6613573.072086715,3536389.0943634855,2311381.794125952,0.18548415013970007,1581501.2447080417,1623819.940380037,694542.2163608735,613363.2827941079,618487.1559701274
2027-03-01,12486996.267261412,6809461.673693157,3404512.1789859384,2273022.4145823168,0.18203115993089225,1514950.2949599726,1498462.1622907924,682328.2880879905,634103.3261140828,616152.8035185122
2027-04-01,12770062.186059488,6894342.749490269,3733959.4819877534,2141759.954581465,0.16771726898241182,1564868.8727356286,1691193.109535358,738159.4242463061,688075.3034401536,620160.3639249454
2027-05-01,12644061.627884645,6723146.91011757,3461109.2326193578,2459805.485147717,0.19454235178061555,1799347.6314614965,1559628.4977425311,694579.2221141409,634664.454921208,603786.4742940384
2027-06-01,12155984.594196806,6595587.8345518485,3372355.887740067,2188040.87190489,0.17999700928787354,1667035.4322593734,1487894.8678555537,687868.8192200597,618466.6850528052,576453.8028276727
2027-07-01,11881963.804851912,6402514.399843328,3404279.322409818,2075170.0825987663,0.17464874634203026,1537301.8156189404,1630456.586262273,713251.3299951509,612545.1442816947,616746.459122766
2027-08-01,11791830.579150602,6461738.287952605,3185599.4142796793,2144492.876918318,0.1818625922857172,1546313.485967652,1460781.7993195152,613460.7768876413,557973.1123689105,528419.8362511533
2027-09-01,11505655.996149,6117590.352544165,3242520.2850054135,2145545.358599421,0.18647744720662132,1472833.3865940205,1370485.4883693503,690002.4809165817,584980.9595162253,537342.0914050505
2027-10-01,12069972.862681435,6467964.296342403,3505809.8221255187,2096198.744213514,0.17367054326150552,1309858.4521487753,1586439.010425784,660100.0729377995,618226.1670139063,585270.7509804303
2027-11-01,12580092.715351794,6738569.266138788,3360647.655265272,2480875.7939477335,0.19720647932270485,1795699.1632222037,1482267.0245993852,669068.9537106412,622612.5607146006,534908.0089468549
2027-12-01,13666719.388669785,7180013.988709232,3846868.141901207,2639837.258059346,0.19315807861306267,2073542.9086939972,1775359.845478293,782952.7006939885,689381.4296201846,643652.7818821289
